Date,TSLA,AMZN,SPY
2010-06-29,23.89,108.61,85.162
2010-06-30,23.83,109.26,84.353
2010-07-01,21.96,110.96,83.9771
2010-07-02,19.2,109.14,83.5194
2010-07-06,16.11,110.06,84.067
2010-07-07,15.8,113.43,86.7147
2010-07-08,17.46,116.22,87.5728
2010-07-09,17.4,117.26,88.2266
2010-07-12,17.05,119.51,88.2838
2010-07-13,18.14,123.65,89.6158
2010-07-14,19.84,123.3,89.6077
2010-07-15,19.89,122.06,89.6322
2010-07-16,20.64,118.49,87.1642
2010-07-19,21.91,119.94,87.679
2010-07-20,20.3,120.1,88.6515
2010-07-21,20.22,117.43,87.4993
2010-07-22,21.0,120.07,89.4524
2010-07-23,21.29,118.87,90.2288
2010-07-26,20.95,118.4,91.1686
2010-07-27,20.55,117.13,91.1604
2010-07-28,20.72,117.13,90.572
2010-07-29,20.35,116.86,90.1307
2010-07-30,19.94,117.89,90.1143
2010-08-02,20.92,120.07,92.1492
2010-08-03,21.95,122.42,91.7079
2010-08-04,21.26,127.58,92.3208
2010-08-05,20.45,127.83,92.2228
2010-08-06,19.59,128.32,91.8468
2010-08-09,19.6,128.83,92.3372
2010-08-10,19.03,130.0,91.8387
2010-08-11,17.9,125.89,89.3216
2010-08-12,17.6,126.56,88.7741
2010-08-13,18.32,124.69,88.5126
2010-08-16,18.78,126.07,88.4717
2010-08-17,19.15,128.86,89.5586
2010-08-18,18.77,129.65,89.7221
2010-08-19,18.79,127.57,88.1612
2010-08-20,19.1,127.76,87.8752
2010-08-23,20.13,126.6,87.5401
2010-08-24,19.2,124.53,86.2407
2010-08-25,19.9,126.85,86.5758
2010-08-26,19.75,124.86,85.9956
2010-08-27,19.7,126.64,87.3276
2010-08-30,19.87,123.79,86.061
2010-08-31,19.48,124.83,86.061
2010-09-01,20.45,132.49,88.6352
2010-09-02,21.06,135.21,89.4606
2010-09-03,21.05,138.79,90.621
2010-09-07,20.54,137.22,89.5995
2010-09-08,20.9,139.14,90.2288
2010-09-09,20.71,140.38,90.6455
2010-09-10,20.17,142.44,91.1032
2010-09-13,20.72,145.07,92.1165
2010-09-14,21.12,145.75,92.0593
2010-09-15,21.98,145.45,92.4107
2010-09-16,20.94,148.13,92.3862
2010-09-17,20.23,148.325,92.4206
2010-09-20,21.055,151.3048,93.8338
2010-09-21,20.77,150.73,93.6448
2010-09-22,19.87,151.83,93.1847
2010-09-23,19.56,152.85,92.4288
2010-09-24,20.1,160.73,94.3349
2010-09-27,20.53,159.37,93.8831
2010-09-28,21.4,159.7,94.2117
2010-09-29,21.98,158.99,94.0474
2010-09-30,20.405,157.06,93.768
2010-10-01,20.6,153.71,94.1624
2010-10-04,20.99,155.39,93.4558
2010-10-05,21.12,160.87,95.3373
2010-10-06,20.46,155.4,95.3291
2010-10-07,20.43,156.27,95.214
2010-10-08,20.43,155.55,95.7481
2010-10-11,20.24,153.03,95.8384
2010-10-12,20.24,156.48,96.1342
2010-10-13,20.54,155.17,96.8819
2010-10-14,20.75,155.53,96.5039
2010-10-15,20.54,164.64,96.7011
2010-10-18,20.23,163.56,97.1776
2010-10-19,20.05,158.67,95.9042
2010-10-20,20.65,158.67,96.8408
2010-10-21,20.75,164.97,97.0544
2010-10-22,20.72,169.13,97.2351
2010-10-25,20.85,169.0,97.5227
2010-10-26,21.36,169.95,97.5391
2010-10-27,21.0,167.51,97.2598
2010-10-28,21.19,166.84,97.2762
2010-10-29,21.84,165.23,97.3502
2010-11-01,21.41,162.58,97.383
2010-11-02,21.25,164.61,98.1553
2010-11-03,21.77,168.47,98.5497
2010-11-04,24.9,168.93,100.4476
2010-11-05,24.44,170.77,100.8255
2010-11-08,24.98,171.99,100.6365
2010-11-09,24.63,170.27,99.9135
2010-11-10,29.36,173.33,100.3161
2010-11-11,28.035,170.37,99.9382
2010-11-12,29.84,165.68,98.7551
2010-11-15,30.8,158.9,98.6154
2010-11-16,29.67,157.78,97.079
2010-11-17,29.49,158.35,97.1283
2010-11-18,29.89,164.17,98.5579
2010-11-19,30.99,164.82,98.829
2010-11-22,33.4,170.39,98.7469
2010-11-23,34.57,168.2,97.3173
2010-11-24,35.47,177.25,98.7551
2010-11-26,35.32,177.2,97.6049
2010-11-29,34.33,179.49,97.9006
2010-11-30,35.33,175.4,97.3502
2010-12-01,34.35,176.55,99.4206
2010-12-02,32.35,176.53,100.694
2010-12-03,31.49,175.68,100.9652
2010-12-06,30.31,178.05,100.8584
2010-12-07,31.56,176.77,100.9159
2010-12-08,32.37,176.29,101.2856
2010-12-09,32.05,174.85,101.6799
2010-12-10,31.52,175.62,102.2715
2010-12-13,30.55,174.25,102.3372
