Date,MCD,WEN,SPY
1999-11-01,24.7044,3.3829,91.9725
1999-11-02,24.4437,3.3949,91.3152
1999-11-03,24.8526,3.4051,91.9301
1999-11-04,26.7784,3.4051,92.6297
1999-11-05,27.5547,3.3949,93.5414
1999-11-08,27.851,3.3949,93.6262
1999-11-09,27.4836,3.3727,92.7463
1999-11-10,27.294,3.4051,93.4354
1999-11-11,27.851,3.3949,93.9654
1999-11-12,28.6688,3.3949,94.8135
1999-11-15,27.7799,3.4051,95.0361
1999-11-16,27.371,3.3949,95.8312
1999-11-17,27.3355,3.3829,96.0856
1999-11-18,27.851,3.4051,96.764
1999-11-19,28.0762,3.3949,96.6792
1999-11-22,27.7977,3.3949,96.658
1999-11-23,27.6673,3.3403,95.8099
1999-11-24,26.891,3.3198,96.3188
1999-11-26,26.4051,3.3198,95.9584
1999-11-29,26.991,3.2873,95.6191
1999-11-30,26.7715,3.3198,94.4954
1999-12-01,27.2995,3.2771,95.2587
1999-12-02,26.8071,3.2241,95.8312
1999-12-03,27.2164,3.2241,97.5909
1999-12-06,27.3232,3.1797,96.87
1999-12-07,26.5105,3.1695,96.0856
1999-12-08,26.4334,3.149,95.4707
1999-12-09,26.4809,3.0414,95.9371
1999-12-10,25.6563,3.0209,96.2552
1999-12-13,24.9148,2.9987,96.4248
1999-12-14,24.4699,2.9987,95.4919
1999-12-15,24.8021,3.0636,96.0008
1999-12-16,24.8021,3.0534,96.4248
1999-12-17,24.4699,3.0739,97.0422
1999-12-20,25.0928,3.0534,96.3408
1999-12-21,24.6953,2.9987,97.8073
1999-12-22,24.3572,3.0312,98.0624
1999-12-23,24.025,3.0943,99.6244
1999-12-27,24.2089,3.1063,99.4863
1999-12-28,24.1021,3.149,99.4226
1999-12-29,23.8411,3.149,99.8477
1999-12-30,23.6157,3.149,99.7307
1999-12-31,23.9123,3.1387,99.8902
2000-01-03,23.5089,3.1592,98.9125
2000-01-04,23.0225,3.2446,95.0444
2000-01-05,23.5089,3.3198,95.2145
2000-01-06,23.064,3.3095,93.6842
2000-01-07,23.6572,3.4051,99.125
2000-01-10,23.764,3.3829,99.4651
2000-01-11,24.3216,3.2446,98.2749
2000-01-12,25.3597,3.2446,97.2973
2000-01-13,25.0987,3.1797,98.615
2000-01-14,25.2767,3.149,99.9539
2000-01-18,24.6182,3.1165,99.1676
